	review_id	sentence_id	text	target	category	entity	attribute	polarity
0	79	79:0	Being a PC user my whole life....					
1	79	79:1	This computer is absolutely AMAZING!!!		LAPTOP#GENERAL	LAPTOP	GENERAL	positive
2	79	79:2	10 plus hours of battery...		BATTERY#OPERATION_PERFORMANCE	BATTERY	OPERATION_PERFORMANCE	positive
3	79	79:3	super fast processor and really nice graphics card..		CPU#OPERATION_PERFORMANCE	CPU	OPERATION_PERFORMANCE	positive
4	79	79:3	super fast processor and really nice graphics card..		GRAPHICS#GENERAL	GRAPHICS	GENERAL	positive
5	79	79:4	and plenty of storage with 250 gb(though I will upgrade this and the ram..)		HARD_DISC#DESIGN_FEATURES	HARD_DISC	DESIGN_FEATURES	positive
6	79	79:5	This computer is really fast and I'm shocked as to how easy it is to get used to...		LAPTOP#OPERATION_PERFORMANCE	LAPTOP	OPERATION_PERFORMANCE	positive
7	79	79:5	This computer is really fast and I'm shocked as to how easy it is to get used to...		LAPTOP#USABILITY	LAPTOP	USABILITY	positive
8	79	79:6	I've only had mine a day but I'm already used to it...		LAPTOP#USABILITY	LAPTOP	USABILITY	positive
9	79	79:7	MACS ARE AMAZING!!!					
10	79	79:8	GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!		LAPTOP#PORTABILITY	LAPTOP	PORTABILITY	positive
11	79	79:8	GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!		CPU#OPERATION_PERFORMANCE	CPU	OPERATION_PERFORMANCE	positive
12	10	10:0	the laptop was really good and it goes really fast just the way i thought it would of run.		LAPTOP#GENERAL	LAPTOP	GENERAL	positive
13	10	10:0	the laptop was really good and it goes really fast just the way i thought it would of run.		LAPTOP#OPERATION_PERFORMANCE	LAPTOP	OPERATION_PERFORMANCE	positive
14	10	10:1	i would really recommend to any person out there to get this laptop cause its really worth it.		LAPTOP#GENERAL	LAPTOP	GENERAL	positive
15	10	10:2	and its really cheap and you wont regret buying it.		LAPTOP#PRICE	LAPTOP	PRICE	positive
16	10	10:2	and its really cheap and you wont regret buying it.		LAPTOP#GENERAL	LAPTOP	GENERAL	positive
17	264	264:0	As a lifelong Windows user, I was extremely pleased to make the change to Mac.					
18	264	264:1	As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;		LAPTOP#PORTABILITY	LAPTOP	PORTABILITY	positive
19	264	264:1	As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;		LAPTOP#QUALITY	LAPTOP	QUALITY	positive
20	264	264:1	As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;		LAPTOP#USABILITY	LAPTOP	USABILITY	positive
