	review_id	sentence_id	text	target	category	entity	attribute	polarity
0	1004293	1004293:0	judging from previous posts this used to be a good place, but not any longer.	place	restaurant#general	restaurant	general	negative
1	1004293	1004293:1	we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	staff	service#general	service	general	negative
2	1004293	1004293:2	they never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.	NULL	service#general	service	general	negative
3	1004293	1004293:3	the food was lousy - too sweet or too salty and the portions tiny.	food	food#quality	food	quality	negative
4	1004293	1004293:3	the food was lousy - too sweet or too salty and the portions tiny.	portions	food#style_options	food	style_options	negative
5	1004293	1004293:4	after all that, they complained to me about the small tip.	NULL	service#general	service	general	negative
6	1004293	1004293:5	avoid this place!	place	restaurant#general	restaurant	general	negative
7	1014458	1014458:0	i have eaten at saul, many times, the food is always consistently, outrageously good.	food	food#quality	food	quality	positive
8	1014458	1014458:1	saul is the best restaurant on smith street and in brooklyn.	Saul	restaurant#general	restaurant	general	positive
9	1014458	1014458:2	the duck confit is always amazing and the foie gras terrine with figs was out of this world.	foie gras terrine with figs	food#quality	food	quality	positive
10	1014458	1014458:2	the duck confit is always amazing and the foie gras terrine with figs was out of this world.	duck confit	food#quality	food	quality	positive
11	1014458	1014458:3	the wine list is interesting and has many good values.	wine list	drinks#style_options	drinks	style_options	positive
12	1014458	1014458:3	the wine list is interesting and has many good values.	wine list	drinks#prices	drinks	prices	positive
13	1014458	1014458:4	for the price, you cannot eat this well in manhattan.	NULL	restaurant#prices	restaurant	prices	positive
14	1014458	1014458:4	for the price, you cannot eat this well in manhattan.	NULL	food#quality	food	quality	positive
15	1016296	1016296:0	i was very disappointed with this restaurant.	restaurant	restaurant#general	restaurant	general	negative
16	1016296	1016296:1	ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.	cart attendant	service#general	service	general	negative
17	1016296	1016296:2	i had to ask her three times before she finally came back with the dish ive requested.	NULL	service#general	service	general	negative
18	1016296	1016296:3	food was okay, nothing great.	Food	food#quality	food	quality	neutral
19	1016296	1016296:4	chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	Chow fun	food#quality	food	quality	negative
20	1016296	1016296:4	chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	pork shu mai	food#quality	food	quality	negative
21	1016296	1016296:4	chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	NULL	restaurant#miscellaneous	restaurant	miscellaneous	negative
22	1016296	1016296:5	i/we will never go back to this place again.	place	restaurant#general	restaurant	general	negative
23	1028246	1028246:0	went on a 3 day oyster binge, with fish bringing up the closing, and i am so glad this was the place it o trip ended, because it was so great!	Fish	restaurant#general	restaurant	general	positive
24	1028246	1028246:1	service was devine, oysters where a sensual as they come, and the price can't be beat!!!	Service	service#general	service	general	positive
25	1028246	1028246:1	service was devine, oysters where a sensual as they come, and the price can't be beat!!!	oysters	food#quality	food	quality	positive
26	1028246	1028246:1	service was devine, oysters where a sensual as they come, and the price can't be beat!!!	NULL	restaurant#prices	restaurant	prices	positive
27	1028246	1028246:2	you can't go wrong here.	NULL	restaurant#general	restaurant	general	positive
28	1032695	1032695:0	every time in new york i make it a point to visit restaurant saul on smith street.	Restaurant Saul	restaurant#general	restaurant	general	positive
29	1032695	1032695:1	everything is always cooked to perfection, the service is excellent, the decor cool and understated.	NULL	food#quality	food	quality	positive
30	1032695	1032695:1	everything is always cooked to perfection, the service is excellent, the decor cool and understated.	service	service#general	service	general	positive
31	1032695	1032695:1	everything is always cooked to perfection, the service is excellent, the decor cool and understated.	decor	ambience#general	ambience	general	positive
32	1032695	1032695:2	i had the duck breast special on my last visit and it was incredible.	duck breast special	food#quality	food	quality	positive
33	1032695	1032695:3	can't wait wait for my next visit.	NULL	restaurant#general	restaurant	general	positive
34	1041457	1041457:0	i had my eyes on this place, promising myself i will one day 'give it a try.' 					
35	1041457	1041457:1	and i hate to say this but i doubt i'll ever go back. 	NULL	restaurant#general	restaurant	general	negative
36	1041457	1041457:2	the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	food	food#quality	food	quality	negative
37	1041457	1041457:2	the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	Thai fusion stuff	food#quality	food	quality	negative
38	1041457	1041457:2	the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	NULL	food#quality	food	quality	negative
39	1041457	1041457:3	the only thing i moderately enjoyed was their grilled chicken special with edamame puree.	Grilled Chicken special with Edamame Puree	food#quality	food	quality	positive
40	1041457	1041457:4	i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).	Edamame pureed	food#quality	food	quality	positive
41	1041457	1041457:4	i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).	Edamame pureed	food#style_options	food	style_options	positive
42	1041457	1041457:5	anyways, if you're in the neighborhood to eat good food, i wouldn't waste my time trying to find something, rather go across the street to tamari.					
43	1041457	1041457:6	the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	place	ambience#general	ambience	general	negative
44	1041457	1041457:6	the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	decor	ambience#general	ambience	general	positive
45	1041457	1041457:6	the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	vent	ambience#general	ambience	general	negative
46	1053543	1053543:0	we ate outside at haru's sake bar because haru's restaurant next door was overflowing.					
47	1053543	1053543:1	what's the difference between the two?					
48	1053543	1053543:2	their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!	sake list	drinks#style_options	drinks	style_options	positive
49	1053543	1053543:2	their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!	NULL	service#general	service	general	positive
50	1053543	1053543:3	the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!	spicy tuna roll	food#quality	food	quality	positive
51	1053543	1053543:3	the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!	rock shrimp tempura	food#quality	food	quality	positive
52	1053543	1053543:4	we went around 9:30 on a friday and it had died down a bit by then so the service was great!	service	service#general	service	general	positive
53	1055910	1055910:0	we love th pink pony.	pink pony	restaurant#general	restaurant	general	positive
54	1055910	1055910:1	the perfect spot.	spot	restaurant#general	restaurant	general	positive
55	1055910	1055910:2	food-awesome.	Food	food#quality	food	quality	positive
56	1055910	1055910:3	service- friendly and attentive.	Service	service#general	service	general	positive
57	1055910	1055910:4	ambiance- relaxed and stylish.	Ambiance	ambience#general	ambience	general	positive
58	1055910	1055910:5	don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.	place	restaurant#general	restaurant	general	positive
59	1058221	1058221:0	i have eaten here a handful of times, for no reason besides sheer convenience.					
60	1058221	1058221:1	(i hang out, and live, in the neighborhood..) 					
61	1058221	1058221:2	the food is decent.	food	food#quality	food	quality	neutral
62	1058221	1058221:3	however, it's the service that leaves a bad taste in my mouth.	service	service#general	service	general	negative
63	1058221	1058221:4	i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.	waiter	service#general	service	general	negative
64	1058221	1058221:5	i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.	NULL	service#general	service	general	negative
65	1058221	1058221:6	well, i didn't find it there, and trust, i have told everyone i can think of about my experience. 	NULL	restaurant#general	restaurant	general	negative
66	1058221	1058221:7	the last time i walked by it looked pretty empty. hmmm.	NULL	restaurant#miscellaneous	restaurant	miscellaneous	negative
67	1062641	1062641:0	this place has got to be the best japanese restaurant in the new york area.	place	restaurant#general	restaurant	general	positive
68	1062641	1062641:1	i had a great experience.	NULL	restaurant#general	restaurant	general	positive
69	1062641	1062641:2	food is great.	Food	food#quality	food	quality	positive
