	review_id	sentence_id	text	target	category	entity	attribute	polarity
0	79	79:0	being a pc user my whole life....					
1	79	79:1	this computer is absolutely amazing!!!		laptop#general	laptop	general	positive
2	79	79:2	10 plus hours of battery...		battery#operation_performance	battery	performance	positive
3	79	79:3	super fast processor and really nice graphics card..		cpu#operation_performance	cpu	performance	positive
4	79	79:3	super fast processor and really nice graphics card..		graphics#general	graphics	general	positive
5	79	79:4	and plenty of storage with 250 gb(though i will upgrade this and the ram..)		hard_disc#design_features	disc	design	positive
6	79	79:5	this computer is really fast and i'm shocked as to how easy it is to get used to...		laptop#operation_performance	laptop	performance	positive
7	79	79:5	this computer is really fast and i'm shocked as to how easy it is to get used to...		laptop#usability	laptop	usability	positive
8	79	79:6	i've only had mine a day but i'm already used to it...		laptop#usability	laptop	usability	positive
9	79	79:7	macs are amazing!!!					
10	79	79:8	get this computer for portability and fast processing!!!		laptop#portability	laptop	portability	positive
11	79	79:8	get this computer for portability and fast processing!!!		cpu#operation_performance	cpu	performance	positive
12	10	10:0	the laptop was really good and it goes really fast just the way i thought it would of run.		laptop#general	laptop	general	positive
13	10	10:0	the laptop was really good and it goes really fast just the way i thought it would of run.		laptop#operation_performance	laptop	performance	positive
14	10	10:1	i would really recommend to any person out there to get this laptop cause its really worth it.		laptop#general	laptop	general	positive
15	10	10:2	and its really cheap and you wont regret buying it.		laptop#price	laptop	price	positive
16	10	10:2	and its really cheap and you wont regret buying it.		laptop#general	laptop	general	positive
17	264	264:0	as a lifelong windows user, i was extremely pleased to make the change to mac.					
18	264	264:1	as a computer science student in college, i find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;		laptop#portability	laptop	portability	positive
19	264	264:1	as a computer science student in college, i find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;		laptop#quality	laptop	quality	positive
20	264	264:1	as a computer science student in college, i find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;		laptop#usability	laptop	usability	positive
21	264	264:2	without a big ol' clunky machine in my backpack, i feel like i can do programming homework anywhere.		laptop#design_features	laptop	design	positive
22	264	264:2	without a big ol' clunky machine in my backpack, i feel like i can do programming homework anywhere.		laptop#portability	laptop	portability	positive
23	264	264:2	without a big ol' clunky machine in my backpack, i feel like i can do programming homework anywhere.		laptop#miscellaneous	laptop	miscellaneous	positive
24	264	264:3	i highly recommend this computer for students looking for a solid machine to get them through college.		laptop#miscellaneous	laptop	miscellaneous	positive
25	264	264:3	i highly recommend this computer for students looking for a solid machine to get them through college.		laptop#quality	laptop	quality	positive
26	264	264:4	a great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.		os#design_features	os	design	positive
