	review_id	sentence_id	text	target	category	polarity
0	1004293	1004293:0	Judging from previous posts this used to be a good place, but not any longer.	place	RESTAURANT#GENERAL	negative
1	1004293	1004293:1	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	staff	SERVICE#GENERAL	negative
2	1004293	1004293:2	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.	NULL	SERVICE#GENERAL	negative
3	1004293	1004293:3	The food was lousy - too sweet or too salty and the portions tiny.	food	FOOD#QUALITY	negative
4	1004293	1004293:3	The food was lousy - too sweet or too salty and the portions tiny.	portions	FOOD#STYLE_OPTIONS	negative
5	1004293	1004293:4	After all that, they complained to me about the small tip.	NULL	SERVICE#GENERAL	negative
6	1004293	1004293:5	Avoid this place!	place	RESTAURANT#GENERAL	negative
7	1014458	1014458:0	I have eaten at Saul, many times, the food is always consistently, outrageously good.	food	FOOD#QUALITY	positive
8	1014458	1014458:1	Saul is the best restaurant on Smith Street and in Brooklyn.	Saul	RESTAURANT#GENERAL	positive
9	1014458	1014458:2	The duck confit is always amazing and the foie gras terrine with figs was out of this world.	foie gras terrine with figs	FOOD#QUALITY	positive
10	1014458	1014458:2	The duck confit is always amazing and the foie gras terrine with figs was out of this world.	duck confit	FOOD#QUALITY	positive
11	1014458	1014458:3	The wine list is interesting and has many good values.	wine list	DRINKS#STYLE_OPTIONS	positive
12	1014458	1014458:3	The wine list is interesting and has many good values.	wine list	DRINKS#PRICES	positive
13	1014458	1014458:4	For the price, you cannot eat this well in Manhattan.	NULL	RESTAURANT#PRICES	positive
14	1014458	1014458:4	For the price, you cannot eat this well in Manhattan.	NULL	FOOD#QUALITY	positive
15	1016296	1016296:0	I was very disappointed with this restaurant.	restaurant	RESTAURANT#GENERAL	negative
16	1016296	1016296:1	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.	cart attendant	SERVICE#GENERAL	negative
17	1016296	1016296:2	I had to ask her three times before she finally came back with the dish Ive requested.	NULL	SERVICE#GENERAL	negative
18	1016296	1016296:3	Food was okay, nothing great.	Food	FOOD#QUALITY	neutral
19	1016296	1016296:4	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	Chow fun	FOOD#QUALITY	negative
20	1016296	1016296:4	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	pork shu mai	FOOD#QUALITY	negative
21	1016296	1016296:4	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	NULL	RESTAURANT#MISCELLANEOUS	negative
22	1016296	1016296:5	I/we will never go back to this place again.	place	RESTAURANT#GENERAL	negative
23	1028246	1028246:0	Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!	Fish	RESTAURANT#GENERAL	positive
24	1028246	1028246:1	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	Service	SERVICE#GENERAL	positive
25	1028246	1028246:1	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	oysters	FOOD#QUALITY	positive
26	1028246	1028246:1	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	NULL	RESTAURANT#PRICES	positive
27	1028246	1028246:2	You can't go wrong here.	NULL	RESTAURANT#GENERAL	positive
28	1032695	1032695:0	Every time in New York I make it a point to visit Restaurant Saul on Smith Street.	Restaurant Saul	RESTAURANT#GENERAL	positive
29	1032695	1032695:1	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	NULL	FOOD#QUALITY	positive
30	1032695	1032695:1	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	service	SERVICE#GENERAL	positive
31	1032695	1032695:1	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	decor	AMBIENCE#GENERAL	positive
32	1032695	1032695:2	I had the duck breast special on my last visit and it was incredible.	duck breast special	FOOD#QUALITY	positive
33	1032695	1032695:3	Can't wait wait for my next visit.	NULL	RESTAURANT#GENERAL	positive
34	1041457	1041457:0	I had my eyes on this place, promising myself I will one day 'give it a try.' 			
35	1041457	1041457:1	And I hate to say this but I doubt I'll ever go back. 	NULL	RESTAURANT#GENERAL	negative
36	1041457	1041457:2	The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	food	FOOD#QUALITY	negative
37	1041457	1041457:2	The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	Thai fusion stuff	FOOD#QUALITY	negative
38	1041457	1041457:2	The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	NULL	FOOD#QUALITY	negative
39	1041457	1041457:3	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.	Grilled Chicken special with Edamame Puree	FOOD#QUALITY	positive
40	1041457	1041457:4	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	Edamame pureed	FOOD#QUALITY	positive
41	1041457	1041457:4	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	Edamame pureed	FOOD#STYLE_OPTIONS	positive
42	1041457	1041457:5	Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.			
43	1041457	1041457:6	The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	place	AMBIENCE#GENERAL	negative
